Transaction_ID,Transaction_Type,Category,Amount,Date,Season,Weather,Customer_ID,Incident_ID
0,Revenue,Ticket Sale,3500,2025-02-25,Winter,Foggy,1415.0,
1,Revenue,Ticket Sale,640,2025-02-25,Winter,Windy,5095.0,
2,Expense,Ambulance Call,-1490,2025-02-25,Winter,Foggy,,96.0
3,Expense,Equipment Maintenance,-730,2025-02-25,Winter,Sunny,,
4,Expense,Staff Salary,-4238,2025-02-25,Summer,Sunny,,
5,Revenue,Rental,60,2025-02-25,Summer,Rainy,2766.0,
6,Revenue,Ticket Sale,5600,2025-02-25,Winter,Foggy,6465.0,
7,Expense,Staff Salary,-5356,2025-02-25,Winter,Sunny,,
8,Expense,Equipment Maintenance,-773,2025-02-25,Summer,Sunny,,
9,Revenue,Ticket Sale,350,2025-02-25,Winter,Sunny,1546.0,
10,Revenue,Ticket Sale,320,2025-02-25,Summer,Windy,3089.0,
11,Expense,Ambulance Call,-1282,2025-02-25,Summer,Sunny,,775.0
12,Revenue,Ticket Sale,550,2025-02-25,Winter,Sunny,1855.0,
13,Revenue,Ticket Sale,320,2025-02-25,Summer,Rainy,7735.0,
14,Expense,Equipment Maintenance,-371,2025-02-25,Winter,Windy,,
15,Expense,Staff Salary,-5902,2025-02-25,Summer,Rainy,,
16,Revenue,Ticket Sale,7700,2025-02-25,Winter,Foggy,8439.0,
17,Revenue,Rental,100,2025-02-25,Summer,Windy,2769.0,
18,Expense,Staff Salary,-8670,2025-02-25,Winter,Sunny,,
19,Expense,Staff Salary,-8987,2025-02-25,Winter,Snowy,,
20,Expense,Equipment Maintenance,-311,2025-02-25,Summer,Rainy,,
21,Expense,Staff Salary,-4140,2025-02-25,Summer,Windy,,
22,Revenue,Rental,100,2025-02-25,Summer,Sunny,3255.0,
23,Expense,Ambulance Call,-1016,2025-02-25,Winter,Snowy,,780.0
24,Expense,Staff Salary,-8348,2025-02-25,Summer,Rainy,,
25,Expense,Equipment Maintenance,-764,2025-02-25,Winter,Snowy,,
26,Expense,Ambulance Call,-1375,2025-02-25,Summer,Windy,,501.0
27,Expense,Staff Salary,-5827,2025-02-25,Summer,Sunny,,
28,Revenue,Rental,70,2025-02-25,Winter,Sunny,9308.0,
29,Expense,Ambulance Call,-1519,2025-02-25,Winter,Windy,,372.0
30,Revenue,Ticket Sale,720,2025-02-25,Winter,Snowy,6595.0,
31,Expense,Equipment Maintenance,-389,2025-02-25,Summer,Windy,,
32,Expense,Staff Salary,-8815,2025-02-25,Summer,Windy,,
33,Expense,Ambulance Call,-1803,2025-02-25,Summer,Windy,,708.0
34,Revenue,Ticket Sale,240,2025-02-25,Summer,Sunny,8443.0,
35,Revenue,Ticket Sale,1400,2025-02-25,Summer,Sunny,4654.0,
36,Expense,Staff Salary,-8171,2025-02-25,Winter,Windy,,
37,Expense,Equipment Maintenance,-699,2025-02-25,Winter,Snowy,,
38,Expense,Equipment Maintenance,-370,2025-02-25,Summer,Windy,,
39,Revenue,Rental,315,2025-02-25,Winter,Windy,1110.0,
40,Expense,Ambulance Call,-2203,2025-02-25,Winter,Sunny,,40.0
41,Expense,Ambulance Call,-2147,2025-02-25,Winter,Snowy,,799.0
42,Revenue,Ticket Sale,720,2025-02-25,Winter,Foggy,1486.0,
43,Revenue,Rental,315,2025-02-25,Winter,Foggy,4587.0,
44,Expense,Staff Salary,-8290,2025-02-25,Winter,Foggy,,
45,Revenue,Rental,240,2025-02-25,Winter,Snowy,1352.0,
46,Revenue,Ticket Sale,200,2025-02-25,Summer,Sunny,3248.0,
47,Revenue,Rental,270,2025-02-25,Winter,Foggy,5998.0,
48,Expense,Ambulance Call,-1460,2025-02-25,Winter,Foggy,,296.0
49,Revenue,Ticket Sale,240,2025-02-25,Summer,Windy,2941.0,
50,Revenue,Rental,315,2025-02-25,Winter,Snowy,9725.0,
51,Expense,Staff Salary,-8159,2025-02-25,Summer,Rainy,,
52,Revenue,Rental,50,2025-02-25,Summer,Windy,1756.0,
53,Expense,Ambulance Call,-1026,2025-02-25,Summer,Sunny,,442.0
54,Revenue,Rental,60,2025-02-25,Winter,Foggy,9327.0,
55,Revenue,Ticket Sale,1400,2025-02-25,Summer,Sunny,8711.0,
56,Expense,Staff Salary,-8933,2025-02-25,Winter,Snowy,,
57,Expense,Staff Salary,-8926,2025-02-25,Summer,Windy,,
58,Expense,Staff Salary,-5187,2025-02-25,Summer,Rainy,,
59,Expense,Ambulance Call,-1917,2025-02-25,Summer,Sunny,,649.0
60,Expense,Equipment Maintenance,-523,2025-02-25,Summer,Windy,,
61,Expense,Staff Salary,-4783,2025-02-25,Summer,Rainy,,
62,Expense,Staff Salary,-4949,2025-02-25,Summer,Windy,,
63,Revenue,Rental,270,2025-02-25,Winter,Snowy,4325.0,
64,Revenue,Rental,315,2025-02-25,Winter,Windy,6013.0,
65,Revenue,Rental,90,2025-02-25,Summer,Windy,7129.0,
66,Revenue,Ticket Sale,550,2025-02-25,Winter,Snowy,5834.0,
67,Expense,Staff Salary,-6081,2025-02-25,Summer,Sunny,,
68,Expense,Staff Salary,-7498,2025-02-25,Winter,Windy,,
69,Expense,Equipment Maintenance,-520,2025-02-25,Summer,Rainy,,
70,Expense,Equipment Maintenance,-833,2025-02-25,Summer,Rainy,,
71,Expense,Ambulance Call,-1691,2025-02-25,Summer,Rainy,,476.0
72,Revenue,Rental,150,2025-02-25,Summer,Sunny,8236.0,
73,Revenue,Ticket Sale,160,2025-02-25,Summer,Windy,6883.0,
74,Expense,Staff Salary,-7406,2025-02-25,Summer,Windy,,
75,Revenue,Rental,120,2025-02-25,Winter,Foggy,2612.0,
76,Revenue,Ticket Sale,640,2025-02-25,Winter,Foggy,9946.0,
77,Expense,Ambulance Call,-2032,2025-02-25,Summer,Sunny,,443.0
78,Expense,Ambulance Call,-2311,2025-02-25,Summer,Windy,,353.0
79,Revenue,Ticket Sale,400,2025-02-25,Winter,Foggy,5906.0,
80,Expense,Equipment Maintenance,-349,2025-02-25,Summer,Rainy,,
81,Expense,Staff Salary,-5873,2025-02-25,Winter,Windy,,
82,Revenue,Rental,70,2025-02-25,Winter,Windy,4717.0,
83,Revenue,Rental,60,2025-02-25,Winter,Windy,9451.0,
84,Expense,Equipment Maintenance,-886,2025-02-25,Summer,Windy,,
85,Expense,Ambulance Call,-1277,2025-02-25,Summer,Sunny,,353.0
86,Expense,Equipment Maintenance,-599,2025-02-25,Summer,Windy,,
87,Expense,Equipment Maintenance,-888,2025-02-25,Winter,Windy,,
88,Revenue,Rental,180,2025-02-25,Winter,Foggy,3102.0,
89,Expense,Ambulance Call,-1648,2025-02-25,Winter,Windy,,584.0
90,Expense,Equipment Maintenance,-434,2025-02-25,Winter,Windy,,
91,Expense,Staff Salary,-8675,2025-02-25,Summer,Windy,,
92,Expense,Staff Salary,-5170,2025-02-25,Summer,Rainy,,
93,Revenue,Rental,180,2025-02-25,Winter,Sunny,3518.0,
94,Revenue,Rental,100,2025-02-25,Summer,Rainy,7400.0,
95,Expense,Equipment Maintenance,-458,2025-02-25,Summer,Sunny,,
96,Expense,Staff Salary,-8479,2025-02-25,Winter,Foggy,,
97,Expense,Ambulance Call,-1162,2025-02-25,Summer,Windy,,152.0
98,Expense,Staff Salary,-6488,2025-02-25,Winter,Sunny,,
99,Expense,Staff Salary,-5876,2025-02-25,Winter,Sunny,,
100,Revenue,Rental,50,2025-02-25,Summer,Sunny,4260.0,
101,Revenue,Rental,90,2025-02-25,Summer,Rainy,4818.0,
102,Revenue,Ticket Sale,4900,2025-02-25,Winter,Windy,7039.0,
103,Expense,Ambulance Call,-2204,2025-02-25,Winter,Snowy,,703.0
104,Revenue,Ticket Sale,2100,2025-02-25,Summer,Sunny,3115.0,
105,Revenue,Ticket Sale,320,2025-02-25,Summer,Rainy,7373.0,
106,Expense,Ambulance Call,-2161,2025-02-25,Winter,Snowy,,775.0
107,Expense,Staff Salary,-4129,2025-02-25,Summer,Sunny,,
108,Revenue,Rental,60,2025-02-25,Summer,Windy,9232.0,
109,Revenue,Ticket Sale,100,2025-02-25,Summer,Sunny,3337.0,
110,Expense,Staff Salary,-4143,2025-02-25,Winter,Windy,,
111,Expense,Staff Salary,-4015,2025-02-25,Winter,Foggy,,
112,Expense,Equipment Maintenance,-601,2025-02-25,Summer,Rainy,,
113,Expense,Ambulance Call,-1422,2025-02-25,Winter,Sunny,,826.0
114,Expense,Ambulance Call,-1244,2025-02-25,Summer,Windy,,675.0
115,Revenue,Rental,50,2025-02-25,Winter,Windy,3942.0,
116,Expense,Equipment Maintenance,-387,2025-02-25,Summer,Rainy,,
117,Expense,Equipment Maintenance,-428,2025-02-25,Winter,Sunny,,
118,Revenue,Rental,50,2025-02-25,Winter,Snowy,5485.0,
119,Revenue,Ticket Sale,200,2025-02-25,Summer,Windy,4559.0,
120,Revenue,Ticket Sale,160,2025-02-25,Summer,Windy,7041.0,
121,Expense,Equipment Maintenance,-303,2025-02-25,Winter,Foggy,,
122,Expense,Ambulance Call,-2350,2025-02-25,Summer,Sunny,,406.0
123,Revenue,Ticket Sale,4200,2025-02-25,Winter,Windy,2199.0,
124,Expense,Ambulance Call,-1305,2025-02-25,Summer,Rainy,,685.0
125,Revenue,Ticket Sale,400,2025-02-25,Winter,Windy,1175.0,
126,Expense,Ambulance Call,-1606,2025-02-25,Winter,Snowy,,855.0
127,Revenue,Ticket Sale,1400,2025-02-25,Summer,Rainy,2352.0,
128,Revenue,Rental,135,2025-02-25,Winter,Windy,8713.0,
129,Revenue,Ticket Sale,560,2025-02-25,Winter,Snowy,2646.0,
130,Expense,Staff Salary,-5371,2025-02-25,Summer,Sunny,,
131,Revenue,Ticket Sale,1400,2025-02-25,Summer,Sunny,1183.0,
132,Expense,Equipment Maintenance,-858,2025-02-25,Summer,Sunny,,
133,Revenue,Rental,50,2025-02-25,Summer,Sunny,1564.0,
134,Revenue,Ticket Sale,2100,2025-02-25,Summer,Windy,9566.0,
135,Expense,Ambulance Call,-1710,2025-02-25,Winter,Windy,,804.0
136,Revenue,Ticket Sale,480,2025-02-25,Winter,Sunny,7183.0,
137,Revenue,Rental,160,2025-02-25,Winter,Foggy,4276.0,
138,Revenue,Ticket Sale,400,2025-02-25,Winter,Windy,1238.0,
139,Revenue,Rental,60,2025-02-25,Winter,Sunny,2582.0,
140,Revenue,Ticket Sale,4900,2025-02-25,Winter,Snowy,7810.0,
141,Expense,Ambulance Call,-1409,2025-02-25,Winter,Foggy,,353.0
142,Expense,Equipment Maintenance,-595,2025-02-25,Winter,Windy,,
143,Revenue,Rental,180,2025-02-25,Winter,Snowy,2734.0,
144,Revenue,Ticket Sale,2800,2025-02-25,Summer,Sunny,7588.0,
145,Expense,Equipment Maintenance,-630,2025-02-25,Summer,Sunny,,
146,Revenue,Rental,70,2025-02-25,Winter,Windy,2081.0,
147,Expense,Staff Salary,-4011,2025-02-25,Summer,Windy,,
148,Revenue,Ticket Sale,200,2025-02-25,Summer,Sunny,4580.0,
149,Expense,Equipment Maintenance,-789,2025-02-25,Summer,Windy,,
150,Expense,Ambulance Call,-1794,2025-02-25,Winter,Snowy,,155.0
151,Expense,Equipment Maintenance,-481,2025-02-25,Summer,Windy,,
152,Revenue,Rental,40,2025-02-25,Winter,Foggy,6209.0,
